filename,source_page_url,direct_image_url,author,license,notes,local_edits
anthus-novaeseelandiae.jpg,"https://commons.wikimedia.org/wiki/File:Australian_Pipit,_Wandoo_NP,_Western_Australia.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Australian_Pipit%2C_Wandoo_NP%2C_Western_Australia.jpg/1600px-Australian_Pipit%2C_Wandoo_NP%2C_Western_Australia.jpg,"Jean and Fred from Perth, Australia",CC BY 2.0,"Australian Pipit Anthus australis; adult, side-on, whole bird incl. legs/tail; Wandoo NP, WA","cropped to bird (760,380,1290,900) of 1600x1061 original - bird was ~4% of frame, would have been ~60px after pregen 384px downscale"
bubulcus-ibis.jpg,"https://commons.wikimedia.org/wiki/File:Eastern_Cattle_Egret_(Bubulcus_coromandus)_in_breeding_plumage,_Kerala.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Eastern_Cattle_Egret_%28Bubulcus_coromandus%29_in_breeding_plumage%2C_Kerala.jpg/1063px-Eastern_Cattle_Egret_%28Bubulcus_coromandus%29_in_breeding_plumage%2C_Kerala.jpg,Shino jacob koottanad,CC BY-SA 4.0,"Eastern Cattle Egret Bubulcus coromandus in BREEDING plumage (per file title/description); Kerala, India",none - saved as downloaded
malurus-lamberti.jpg,"https://commons.wikimedia.org/wiki/File:Purple-backed_Fairywren_(Malurus_assimilis),_Fivebough_Wetlands.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Purple-backed_Fairywren_%28Malurus_assimilis%29%2C_Fivebough_Wetlands.jpg/1600px-Purple-backed_Fairywren_%28Malurus_assimilis%29%2C_Fivebough_Wetlands.jpg,B 897,CC BY-SA 4.0,Purple-backed Fairywren Malurus assimilis; Fivebough Wetlands NSW. Sex/plumage not stated in metadata - intended BREEDING MALE with chestnut shoulder; visually pending confirmation,"cropped to bird (520,400,1230,1140) of 1600x1550 original to reduce reed clutter; breeding male + chestnut shoulder CONFIRMED visually"
ardea-intermedia.jpg,https://commons.wikimedia.org/wiki/File:An_Intermediate_Egret_(Ardea_intermedia).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/An_Intermediate_Egret_%28Ardea_intermedia%29.jpg/1600px-An_Intermediate_Egret_%28Ardea_intermedia%29.jpg,micluna,CC BY-SA 4.0,Intermediate Egret Ardea intermedia; profile head/bill visibility (gape line) to be visually confirmed,none - saved as downloaded
tyto-alba.jpg,"https://commons.wikimedia.org/wiki/File:Eastern_Barn_Owl,_Kairi_District,_Cairns,_Queensland.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Eastern_Barn_Owl%2C_Kairi_District%2C_Cairns%2C_Queensland.jpg/1600px-Eastern_Barn_Owl%2C_Kairi_District%2C_Cairns%2C_Queensland.jpg,JJ Harrison (https://www.jjharrison.com.au/),CC BY-SA 4.0,"Eastern Barn Owl Tyto javanica; pale Australian form, white heart-shaped facial disc; Kairi, QLD",none - saved as downloaded
01-sparrows-on-bamboo-Koson.jpg,"https://commons.wikimedia.org/wiki/File:Twee_ringmussen_in_de_regen,_RP-P-1999-477.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Twee_ringmussen_in_de_regen%2C_RP-P-1999-477.jpg/2000px-Twee_ringmussen_in_de_regen%2C_RP-P-1999-477.jpg,Ohara Koson (Rijksmuseum scan),CC0,Koson woodblock print 'Two tree sparrows in the rain' (slot: small songbirds perched). Substituted for tiny 280px sparrows-on-bamboo scan,none - saved as downloaded
05-owl-on-ginkgo-Koson.jpg,"https://commons.wikimedia.org/wiki/File:Scops_Owl,_Cherry_Blossoms,_and_Moon_by_Sh%C5%8Dson.jpg",https://upload.wikimedia.org/wikipedia/commons/9/90/Scops_Owl%2C_Cherry_Blossoms%2C_and_Moon_by_Sh%C5%8Dson.jpg,Ohara Koson (Shoson),Public domain,"Koson woodblock print 'Scops Owl, Cherry Blossoms, and Moon' (slot: owl perched). Substituted for tiny 280px owl-on-ginkgo scan",none - saved as downloaded
06-goose-flying-in-moonlight-Koson.jpg,"https://commons.wikimedia.org/wiki/File:Gans_bij_volle_maan,_RP-P-1999-503.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Gans_bij_volle_maan%2C_RP-P-1999-503.jpg/2000px-Gans_bij_volle_maan%2C_RP-P-1999-503.jpg,Ohara Koson (Rijksmuseum scan),CC0,"Koson woodblock print 'Goose at full moon' - goose in diving flight before the moon (slot: large bird in flight, wings spread)",none - saved as downloaded
07-swallows-in-flight-Koson.jpg,"https://commons.wikimedia.org/wiki/File:Zwaluwen_in_vlucht,_RP-P-1999-572.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Zwaluwen_in_vlucht%2C_RP-P-1999-572.jpg/2000px-Zwaluwen_in_vlucht%2C_RP-P-1999-572.jpg,Ohara Koson (Rijksmuseum scan),CC0,Koson woodblock print 'Swallows in flight' (slot: small birds in flight),none - saved as downloaded
08-crane-in-small-water-Koson.jpg,"https://commons.wikimedia.org/wiki/File:Vissende_kraanvogel_in_ondiep_water,_RP-P-2005-470.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Vissende_kraanvogel_in_ondiep_water%2C_RP-P-2005-470.jpg/2000px-Vissende_kraanvogel_in_ondiep_water%2C_RP-P-2005-470.jpg,Ohara Koson (Rijksmuseum scan),CC0,Koson woodblock print 'Fishing crane in shallow water' (slot: crane/wading bird),none - saved as downloaded
