scientific_name,common_name,slug,occurrence_v1,occurrence_v2,in_auvic_bundle,status
Gymnorhina tibicen,Australian Magpie,gymnorhina-tibicen,0.9989,0.9966,yes,covered
Corvus coronoides,Australian Raven,corvus-coronoides,0.8219,0.9504,yes,covered
Grallina cyanoleuca,Magpie-lark,grallina-cyanoleuca,0.8402,0.9063,yes,covered
Malurus cyaneus,Superb Fairywren,malurus-cyaneus,0.8458,0.8924,yes,covered
Eolophus roseicapilla,Galah,eolophus-roseicapilla,0.8290,0.8751,yes,covered
Rhipidura leucophrys,Willie-wagtail,rhipidura-leucophrys,0.7293,0.8741,yes,covered
Anthochaera carunculata,Red Wattlebird,anthochaera-carunculata,0.7788,0.8579,yes,covered
Strepera graculina,Pied Currawong,strepera-graculina,0.8040,0.8131,yes,covered
Platycercus elegans,Crimson Rosella,platycercus-elegans,0.7475,0.6813,yes,covered
Hirundo neoxena,Welcome Swallow,hirundo-neoxena,0.6807,0.7376,yes,covered
Rhipidura albiscapa,Gray Fantail,rhipidura-albiscapa,0.7336,0.6452,yes,covered
Cacatua galerita,Sulphur-crested Cockatoo,cacatua-galerita,0.7008,0.7069,yes,covered
Ocyphaps lophotes,Crested Pigeon,ocyphaps-lophotes,0.4966,0.7006,yes,covered
Dacelo novaeguineae,Laughing Kookaburra,dacelo-novaeguineae,0.6286,0.6885,yes,covered
Caligavis chrysops,Yellow-faced Honeyeater,caligavis-chrysops,0.6380,0.6772,yes,covered
Anas superciliosa,Pacific Black Duck,anas-superciliosa,0.5613,0.6384,yes,covered
Cormobates leucophaea,White-throated Treecreeper,cormobates-leucophaea,0.5839,0.6240,yes,covered
Pachycephala rufiventris,Rufous Whistler,pachycephala-rufiventris,0.6135,0.4718,yes,covered
Chenonetta jubata,Maned Duck,chenonetta-jubata,0.5538,0.6110,yes,covered
Vanellus miles,Masked Lapwing,vanellus-miles,0.4175,0.6090,yes,covered
Platycercus eximius,Eastern Rosella,platycercus-eximius,0.5059,0.6032,yes,covered
Egretta novaehollandiae,White-faced Heron,egretta-novaehollandiae,0.4111,0.5810,yes,covered
Coracina novaehollandiae,Black-faced Cuckooshrike,coracina-novaehollandiae,0.5629,0.4972,yes,covered
Colluricincla harmonica,Gray Shrikethrush,colluricincla-harmonica,0.4535,0.5416,yes,covered
Pardalotus punctatus,Spotted Pardalote,pardalotus-punctatus,0.4138,0.5346,yes,covered
Sturnus vulgaris,European Starling,sturnus-vulgaris,0.4738,0.5260,yes,covered
